Are you currently a student at Duke University?,"The following questions are about your age, race, gender, difficulty doing some activities, and experience as a
student at Duke University. 

How old are you?",What racial/ethnic groups do you most closely identify with? (Select all that apply) - Selected Choice,What racial/ethnic groups do you most closely identify with? (Select all that apply) - Other: - Text,Have you ever had a menstrual period?,"Which gender identity do you most identify with? 

(""cis"" or cisgender refers to identifying as the gender assigned at birth, while ""trans"" or transgender refers to identifying as a gender different than the one assigned at birth) - Selected Choice",What is your biological sex?,What type of student are you?,What type of housing do you live in?,What type of student are you?,Where did you learn about periods growing up? (Select all that apply) - Selected Choice,Where did you learn about periods growing up? (Select all that apply) - Other: - Text,"The following are questions about menstruation.

Where do you think the bleeding from menstruation originates? (Select one)",Did you have school-based menstrual education?,How well-informed did you feel in regard to menstruation after your school-based menstrual education?,What words would you use to describe periods generally?,How comfortable are you with discussing your own or others' periods?,Do you agree or disagree with the following statements? - People should feel comfortable having sex on their period.,Do you agree or disagree with the following statements? - Menstrual blood is dirty.,Do you agree or disagree with the following statements? - Menarche (a person's very first period) is reason for celebration.,"Do you agree or disagree with the following statements? - While on menstruation, one should refrain from some religious activities.","Do you agree or disagree with the following statements? - Code words should be used to describe periods (""Aunt Flow""; ""time of the month"").",Do you agree or disagree with the following statements? - People can become more irritable and depressed due to period-related needs.,Do you agree or disagree with the following statements? - Menstruation is a normal and healthy part of life.,Do you agree or disagree with the following statements? - It is normal to have really painful periods.,Do you agree or disagree with the following statements? - Menstruation is a symbol of feminine beauty.,"Do you agree or disagree with the following statements? - Menstrual products should be hidden since they are private, hygiene products.",Do you agree or disagree with the following statements? - Menstrual cramps are often exaggerated.,Do you agree or disagree with the following statements? - Menstrual leave/absence (being able to take time off work or school due to menstruation) should be available.,"Do you agree or disagree with the following statements? - The use of insert-type menstrual products (i.e., tampons, menstrual cups) may cause a loss of virginity.",Do you agree or disagree with the following statements? - Reusable (cloth) menstrual pads are unsanitary.,Do you agree or disagree with the following statements? - All menstrual products are expensive.,"The following questions are about your direct experiences with period products.

Have you ever provided or purchased a period product for someone else?",Have you ever not been able to afford menstrual products (such as pads or tampons)?,"In the last 12 months, how often have you not been able to afford menstrual products?",Do you think people avoid changing menstrual products while on campus?,What are some reasons you think people don't change their menstrual product on campus? (Select all that apply).,"Do you think people have ever missed, had to leave, or arrived late for class because of menstrual-related reasons? (Select all that apply).",Where do you think people purchase or access menstrual products? - Selected Choice,Where do you think people purchase or access menstrual products? - Other: - Text,"If the university were to distribute menstrual hygiene products, where do you suggest we distribute them? (Select all that apply) - Selected Choice","If the university were to distribute menstrual hygiene products, where do you suggest we distribute them? (Select all that apply) - Other: - Text"
Yes,22,East Asian,,Yes,Cis-Woman,Female,Undergraduate - 4th year,Off-campus Housing (Privately Owned),Out-of-state student,"Family,Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook)",,Uterus,Yes,Adequately informed,hell on earth,Moderately comfortable,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Agree,"Yes, friend,Yes, a family member",No,Always,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.,No place to dispose of/empty my period product.",Yes,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",,Campus convenience store,
Yes,21,White,,Yes,Cis-Woman,Female,Undergraduate - 4th year,On-campus Housing (University Owned),Out-of-state student,Family,,Uterus,Yes,Adequately informed,Uncomfortable ,Very comfortable,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,"Yes, friend,Yes, someone I did not know (for example in a public bathroom)",No,Never,No,"Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.",Yes,"University Bookstore,Wellness Center,Student bathrooms,Campus convenience store",,"Student bathrooms,Dorms",
Yes,20,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,School/Teacher,,Uterus,Yes,Insufficiently informed,Bad,Moderately uncomfortable,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,"No, never before",,,Yes,Not having enough time.,Yes,Wellness Center,,,
Yes,19,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,School/Teacher",,Uterus,No,,"Painful, life-affecting, uncomfortable",Very uncomfortable,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,"No, never before",No,,No,"Not having enough time.,The toilet facilities are not sanitary.,No place to dispose of/empty my period product.",Yes,"University Bookstore,Wellness Center,Student bathrooms",,"Student bathrooms,Campus convenience store",
Yes,20,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends",,Uterus,No,,"Painful, bloody",Very comfortable,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,"Yes, friend,Yes, a family member",No,Always,No,Not having enough time.,Yes,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,19,"Hispanic or Latino,White",,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook),TV",,Ovaries,Yes,Adequately informed,"Monthly, regular",Moderately comfortable,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,"Yes, friend,Yes, someone I did not know (for example in a public bathroom)",No,Never,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.",Yes,"University Bookstore,Student bathrooms,Dorms,Campus convenience store",,"Student bathrooms,Dorms,Campus convenience store",
Yes,20,White,,No,Cis-Man,Male,Undergraduate - 3rd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,School/Teacher",,Uterus,Yes,Adequately informed,"Cyclical, probably uncomfortable",Very comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,"No, never before",,,No,,Yes,,,,
Yes,19,Black,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Friends,School/Teacher",,Ovaries,Yes,Adequately informed,Painful and inconvenient ,Moderately comfortable,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,"No, never before",No,,No,Worrying that someone might hear or see,Yes,"Wellness Center,Campus convenience store",,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,20,South Asian,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Friends,School/Teacher,Social media (e.g. Instagram, Facebook)",,Uterus,Yes,Insufficiently informed,,Moderately uncomfortable,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,"Yes, friend",No,,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,The toilet facilities are not sanitary.",Yes,"Wellness Center,Student bathrooms,Campus convenience store",,"Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,20,Middle Eastern,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook)",,Uterus,No,,Inconvenient ,Moderately comfortable,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,"No, never before",No,,No,"Worrying that someone might hear or see,Not having enough time.",I don't know,"Wellness Center,Campus convenience store",,Student bathrooms,
Yes,21,South Asian,,Yes,Cis-Woman,Female,Undergraduate - 3rd year,On-campus Housing (University Owned),Out-of-state student,"Family,Doctor or other health care provider,School/Teacher",,Uterus,Yes,Sufficiently informed,Painful,Moderately comfortable,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,"Yes, friend,Yes, a family member,Yes, someone I did not know (for example in a public bathroom)",No,Never,No,"Not having another menstrual product available,Not having enough time.",Yes,"University Bookstore,Student bathrooms,Dorms,Campus convenience store",,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,20,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Doctor or other health care provider,School/Teacher",,Uterus,Yes,Adequately informed,"Constant, blood, pain, cycle",Very comfortable,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,"Yes, a family member",No,,Yes,"Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.",Yes,"University Bookstore,Wellness Center,Student bathrooms,Dorms",,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,20,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Friends,School/Teacher,Internet/Websites/Search Engines",,Uterus,Yes,Adequately informed,Natural,Moderately comfortable,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,"Yes, friend",No,,No,"Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.",Yes,"Wellness Center,Student bathrooms",,Other:,"Don't really know I'm the right one to say, I don't menstruate"
Yes,19,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),International student,"Family,Friends",,Uterus,Yes,Insufficiently informed,,Moderately uncomfortable,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,"No, never before",,,Yes,"Not having enough time.,The toilet facilities are not sanitary.",Yes,"Wellness Center,Student bathrooms",,Student bathrooms,
Yes,20,White,,Yes,Cis-Woman,Female,Undergraduate - 3rd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook),Magazines or books",,Uterus,Yes,Insufficiently informed,"Annoying, Painful, Bothersome",Moderately comfortable,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Neutral,"No, never before",No,Never,Yes,"Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.",Yes,"Wellness Center,Student bathrooms,Dorms,Campus convenience store",,"Wellness Center,Student bathrooms,Dorms,Campus convenience store",
